lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Edición de: Maria Rosa Alfani. Traducción al italiano de: Ugo Castaldi. Traducción al italiano de: Domenico D Amiano.,205902,L'ingegnoso Don Chisciotte. Cervantes e il nuovo mondo del romanzo,2005,Donzelli,,,,,,Le Saggine,Roma,Italia,Italiano,Ensayo,
Traducción al italiano de: Michela Finassi Parolo.,205912,Storie per vergini,2007,Il Saggiatore,,,,,,Narrativa,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Bruno Arpaia.,205913,Contro Bush,2004,Tropea,,,,,,I tigli,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Eleonora Mogavero.,205916,L'albero delle arance,2003,Il Saggiatore,,,,,,Scritture. Nuova serie; 119,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Luigi Dapelo.,205918,Geografia del romanzo,1997,Net,,,,,,Net / Pratiche,Parma,Italia,Italiano,Ensayo,
Traducción al italiano de: Claudio M. Valentinetti.,205919,Il gringo vecchio,1986,Mondadori,,,,,,Collana Omnibus,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Carmine Di Michele.,205921,La morte di Artemio Cruz,1966,Feltrinelli,,,,,,Collana I Narratori / Il Saggiatore Tascabili,Milano,Italia,Italiano,Narrativa,Novela
,205922,Villages fantômes. Pueblos fantasmas. (1978-1998).,2002,Écrits des Forges,,,,,,Écrits des Forges,Quebec,Canadá,Francés,Poesía,
Traducción al italiano de: German Quintero. Traducción al italiano de: Luigi Dapelo.,205930,L'ombelico della luna,2000,Il Saggiatore,,,,,,Collana Scritture,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Giuliana Carrero. Traducción al italiano de: Eleonora Mogavero.,205932,Il trono dell'aquila,2008,Il Saggiatore,,,,,,Narrativa,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Valerio Riva.,205935,Righe per Adami,1968,Studio Marconi,,,,,,,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Ilide Carmignani. Traducción al italiano de: Ilide Carmignani.,205936,Gli anni con Laura Diaz,2001,Il Saggiatore,,,,,,Collana Scritture,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Barbara Murgia.,205938,Tutti i soli del Messico: un grande scrittore racconta i'anima del suo paese,1998,Il Saggiatore,,,,,,Nuovi Saggi,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Enrico Groppali.,205939,Orchidee al chiaro di luna,1998,Costa &amp; Nolan,,,,,,Collana Il Testo Treatrale,Genova,Italia,Italiano,Dramaturgia,
Traducción al italiano de: Giuliana Carrero. Traducción al italiano de: Eleonora Mogavero.,205940,Tutte le famiglie felici,2009,Il Saggiatore,,,,,,Narrativa,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Giuliana Carrero. Traducción al italiano de: Eleonora Mogavero.,205941,Destino,2012,Il Saggiatore,,,,,,Narrativa; 67,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Ximena Rodriguez Bradford.,205945,Vlad,2012,Il Saggiatore,,,,,,Collana Biblioteca delle Silerchie,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Matteo Anastasio. Prefacio de: Stefano Tedeschi.,205949,Incontri,2014,Editori Riuniti,,,,,,Collana Novecento Messicano,Roma,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Filippo Gilardi.,205954,Tajimara,2003,Lindau,,,,,,Collana L'Isola,Torino,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Giovanna Minardi.,205955,La colpa è dei tlascalani,2000,Filema,,,,,,Collana I racconti di Filema,Napoli,Italia,Italiano,Narrativa,Cuento
Prólogo de: Patricia Rosas Lopátegui. Traducción al italiano de: Rocio Luque.,205957,I ricordi dell'avvenire,2010,Aracne,,,,,,Collana Narrativa Aracne,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Michela Finassi Parolo.,205959,La vita è una ferita assurda,2007,Giunti,,,,,,Collana Giunti Blu,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gina Maneri. Traducción al italiano de: Andrea Mazza.,205961,Ossa nel deserto,2006,Adelphi,,,,,,La collana dei casi,Milano,Italia,Italiano,Ensayo,
Edición y traducción de: Francesco Fava.,205962,Morte infinita,2010,Le lettere,,,,,,Collana Latinoamericana,Florencia,Italia,Italiano,Poesía,
Traducción al italiano de: Giuseppe Bartolucci. Prefacio de: Fernando Sánchez Mayáns.,205963,Disegni su di un porto,1976,Circolo Culturale La Ginestra,,,,,,Edizione di 150 esemplari numerati,Ancona,Italia,Italiano,Poesía,
Traducción al italiano de: Raul Schenardi.,205965,La legge del più forte,2011,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Mario Socrate.,205966,L'aquila e il serpente,1942,Rizzoli,,,,,,Collana Il Sofà delle Muse,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Maria Camilla Bianchini.,205967,L'ombra del caudillo,1970,U. Mursia &amp; C,,,,,,Le stagioni della narrativa contemporanea; 0,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: María Cristina Secci.,205968,Ballata per mia madre,2014,Gran Vía,,,,,,Collana Gran Vía Original,Narni,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: María Cristina Secci.,205971,Tra le nuvole. Scenari di un sogno,2011,CUEC,,,,,,Collana Itaca,Cagliari,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci..,205972,Segnali che precederanno la fine del mondo,2012,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci..,205973,La trasmigrazione dei corpi,2014,Feltrinelli,,,,,,Collana I Narratori,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci..,205974,La ballata del re di denari,2011,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Caterina Camastra.,205975,Galaor,2010,Bibliofabbrica,,,,,,Croce del Sud,Gussago,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Angelo Morino.,205976,Due delitti,1999,Sellerio Editore,,,,,,La memoria,Palermo,Italia,Italiano,Narrativa,Novela
"Introducción, traducción y notas de: María Cristina Secci.",205977,La legge del menga. E pluribus anum,2008,Edizione Noubs,,,,,,Aptica; 20,Chieti,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Angelo Morino.,205978,Le morte,1979,La Rosa,,,,,,La Rosa; 4,Torino,Italia,Italiano,Narrativa,Novela
Introducción de: Italo Calvino. Traducción al italiano de: Enrico Cicogna.,205990,Le folgori di agosto,1973,Vallecchi,,,,,,Tascabili Vallecchi,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Angelo Morino.,205991,Ammanzzate il leone,1987,Feltrinelli,,,,,,Collana I Narratori,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Barbara Bertoni. Entrevistas de: Barbara Bertoni.,205992,Le foglie morte,2001,Besa,,,,,,Lune Nuove; 42,Otranto,Italia,Italiano,Narrativa,Novela
,205994,I muratori,1996,Il Saggiatore,,,,,,Collana Scritture,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gabriele Cabrini. Traducción al italiano de: Giannino Galloni.,205997,La memoria dei vinti,1962,Silva,,,,,,Le Civiltà,Milano,Italia,Italiano,Ensayo,
